id,ms_subclass,ms_zoning,street,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,heating,heating_qc,central_air,electrical,low_qual_fin_sf,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,misc_val,mo_sold,yr_sold,sale_type,saleprice,age_sold,age_since_remod,age_garage,total_bath,total_bedroom,total_sqft
1480,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,3,6,24.0,1,GasA,5,1,SBrkr,0,1,4,6,Typ,0,0,Attchd,2,2.0,3,3,1,0,50,0,0,0,0,6,2008,WD ,193000,1,1,1.0,2.0,3,3322.0
324,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5,3,3,1,0.0,1,GasA,5,1,SBrkr,0,1,4,7,Typ,0,0,Attchd,2,2.0,3,3,1,0,0,0,0,0,0,3,2010,WD ,173500,6,5,6.0,2.0,3,3484.0
1311,70,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3,3,1,1,0.0,1,GasA,2,0,SBrkr,0,1,3,7,Typ,0,0,Detchd,1,3.0,2,2,1,0,0,96,0,0,0,5,2008,COD,98000,92,58,92.0,1.0,4,2481.0
770,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3,3,1,3,651.0,1,GasA,3,1,SBrkr,0,1,3,5,Typ,0,0,Detchd,1,2.0,3,3,1,0,80,0,0,0,0,6,2009,WD ,139000,46,46,46.0,2.0,3,2722.0
2063,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3,3,1,1,0.0,1,GasA,5,1,SBrkr,0,1,3,7,Typ,1,3,Attchd,2,2.0,3,3,1,138,0,0,0,0,0,4,2007,WD ,143500,30,30,30.0,2.0,3,2473.0
69,60,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,2,6,24.0,1,GasA,5,1,SBrkr,0,1,4,7,Typ,0,0,Attchd,1,2.0,3,3,1,169,45,0,0,0,0,6,2010,Con,215200,1,1,1.0,3.0,3,2917.0
2062,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4,3,1,4,492.0,1,GasA,4,1,SBrkr,0,1,3,5,Typ,1,1,Attchd,3,2.0,3,3,1,0,0,0,0,0,0,5,2007,WD ,129000,39,39,39.0,1.0,3,2238.0
351,120,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,1,6,1158.0,1,GasA,5,1,SBrkr,0,1,5,5,Typ,1,5,Attchd,3,2.0,3,3,1,212,59,0,0,0,0,10,2009,WD ,278000,9,9,9.0,3.0,2,3659.0
2393,60,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,5,3,3,1,0.0,1,GasA,5,1,SBrkr,0,1,5,8,Typ,1,4,Attchd,3,2.0,3,3,1,243,142,0,0,0,0,7,2006,New,344133,1,0,1.0,3.0,3,4037.0
12,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,GasA,5,1,SBrkr,0,1,3,6,Typ,0,0,Attchd,3,2.0,3,3,1,483,21,0,0,0,500,3,2010,WD ,185000,18,3,18.0,3.0,3,2775.0
2339,190,RL,Pave,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,2,3,1056.0,1,GasA,3,0,SBrkr,0,1,3,5,Typ,0,0,Attchd,3,2.0,3,3,1,264,0,0,0,0,0,1,2006,WD ,145000,51,51,51.0,2.0,3,2684.0
624,20,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,3,3,CBlock,3,3,1,3,1312.0,1,GasA,5,1,SBrkr,0,1,3,6,Typ,1,3,Attchd,2,2.0,3,3,1,0,49,0,0,288,0,4,2009,WD ,187500,48,48,48.0,3.0,3,3436.0
86,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,6,553.0,4,GasA,5,1,SBrkr,0,1,3,5,Typ,1,4,Detchd,1,1.0,3,3,1,416,144,0,0,0,0,4,2010,WD ,138500,45,1,37.0,2.0,3,2124.0
1534,50,RL,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,WdShing,Wd Shng,None,0.0,3,3,CBlock,3,3,1,4,606.0,1,GasA,5,1,SBrkr,0,1,4,7,Min2,1,4,Detchd,1,1.0,3,3,1,0,40,0,0,0,0,7,2008,WD ,198000,71,13,71.0,2.0,4,3120.0
2243,190,C (all),Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3,3,1,1,0.0,1,GasA,2,0,SBrkr,0,2,3,9,Typ,0,0,0,0,0.0,0,0,0,0,0,133,0,0,0,6,2007,WD ,119600,112,1,0.0,2.0,4,2948.0
1957,50,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,2,1,0.0,1,GasA,5,1,SBrkr,0,1,3,6,Typ,1,1,Detchd,1,2.0,3,3,1,0,0,0,0,0,2000,7,2007,WD ,122900,58,1,4.0,1.0,3,2172.0
380,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4,3,PConc,4,3,1,5,1104.0,1,GasA,3,1,SBrkr,0,1,4,9,Typ,1,4,Attchd,3,2.0,3,3,1,474,120,0,0,0,0,7,2009,WD ,278000,28,28,28.0,4.0,4,5590.0
2860,70,RL,Pave,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,BrkFace,Stucco,None,0.0,3,3,PConc,4,3,1,1,0.0,1,GasA,2,1,SBrkr,0,1,4,7,Typ,2,4,Detchd,1,2.0,3,3,1,0,0,0,0,0,0,6,2006,WD ,230000,77,56,75.0,1.0,3,2709.0
2517,120,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,4,4,PConc,4,4,3,2,437.0,6,GasA,5,1,SBrkr,0,1,5,6,Typ,1,4,Attchd,3,2.0,3,3,1,0,30,0,0,216,0,4,2006,WD ,270000,11,10,11.0,3.0,2,3469.0
1933,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,5,441.0,1,GasA,3,1,SBrkr,0,1,3,5,Typ,0,0,Detchd,1,2.0,3,3,0,0,48,0,0,0,0,4,2007,WD ,125000,55,55,55.0,1.0,2,2306.0
820,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4,3,PConc,5,3,4,6,1288.0,1,GasA,5,1,SBrkr,0,1,4,7,Typ,1,4,Attchd,2,3.0,3,3,1,208,44,0,0,0,0,9,2009,WD ,297000,2,1,2.0,3.0,3,4249.0
675,20,RL,Pave,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,3,3,CBlock,4,3,4,1,0.0,1,GasA,2,1,SBrkr,0,1,3,5,Typ,1,4,Basment,2,1.0,3,3,1,0,28,64,0,0,0,4,2009,WD ,113500,51,51,51.0,1.0,2,1686.0
2910,160,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,PConc,3,3,1,5,548.0,3,GasA,5,1,SBrkr,0,1,3,6,Typ,1,3,Attchd,2,1.0,3,3,1,104,26,0,0,0,0,7,2006,WD ,127000,29,29,29.0,2.0,4,2568.0
21,20,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,3,3,CBlock,4,3,1,4,705.0,1,GasA,5,1,SBrkr,0,1,3,7,Typ,1,3,Attchd,2,2.0,3,3,1,0,122,0,0,0,0,1,2010,COD,190000,33,33,33.0,2.0,3,4234.0
1873,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,3,3,CBlock,3,3,1,5,916.0,1,GasA,2,1,SBrkr,0,1,3,6,Typ,1,3,Attchd,1,2.0,3,3,1,0,0,0,0,0,0,9,2007,WD ,175500,34,34,34.0,2.0,3,3012.0
2125,20,RL,Pave,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,PConc,4,4,1,6,420.0,1,GasA,5,1,SBrkr,0,1,3,5,Typ,0,0,Detchd,1,1.0,3,3,1,256,0,0,0,0,0,7,2007,WD ,146000,13,13,12.0,2.0,3,2364.0
1489,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,CBlock,3,3,1,4,830.0,2,GasA,4,1,SBrkr,0,1,3,6,Typ,0,0,Attchd,3,1.0,3,3,1,736,68,0,0,0,0,6,2008,WD ,147500,43,43,43.0,3.0,3,2788.0
2383,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,5,3,PConc,5,4,4,6,1386.0,1,GasA,5,1,SBrkr,0,1,5,7,Typ,1,4,Attchd,3,3.0,3,3,1,216,229,0,0,0,0,9,2006,New,465000,0,0,0.0,4.0,2,5002.0
983,85,RL,Pave,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,3,4,PConc,4,3,3,6,1097.0,1,GasA,5,1,SBrkr,0,1,4,4,Typ,1,3,Attchd,3,2.0,3,3,1,303,30,0,0,0,0,7,2009,WD ,165500,31,31,31.0,2.0,1,2809.0
1325,50,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,3,3,BrkTil,3,3,1,1,0.0,1,GasA,5,0,FuseF,0,1,3,7,Typ,0,0,Attchd,1,1.0,2,3,1,0,0,0,0,0,0,11,2008,WD ,131500,54,54,54.0,2.0,4,3197.0
1378,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Hip,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,3,906.0,1,GasA,5,1,SBrkr,0,1,3,5,Typ,0,0,Detchd,1,1.0,3,3,1,0,0,0,0,0,0,2,2008,WD ,129500,43,43,43.0,2.0,3,2464.0
1537,70,RL,Pave,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,6,Gable,CompShg,BrkFace,Stucco,Stone,40.0,3,3,PConc,3,2,1,2,210.0,1,GasA,3,1,SBrkr,0,1,3,9,Typ,2,4,Detchd,3,2.0,2,3,1,0,0,207,0,0,0,6,2008,WD ,257076,73,58,73.0,2.0,4,3267.0
905,50,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,2,408.0,4,GasA,5,1,SBrkr,0,1,3,6,Min2,0,0,Detchd,1,2.0,3,3,1,0,68,0,0,0,0,7,2009,WD ,117000,68,49,32.0,2.0,3,3248.0
1532,70,RL,Pave,Reg,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,2Story,7,6,Gable,CompShg,Stucco,Wd Shng,None,0.0,3,2,BrkTil,4,3,1,1,0.0,1,GasA,3,1,SBrkr,0,1,3,6,Typ,1,4,Attchd,2,1.0,3,3,P,0,0,112,0,0,0,2,2008,WD ,149000,77,8,77.0,2.0,3,2548.0
132,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,HdBoard,HdBoard,Stone,110.0,3,3,CBlock,3,3,1,3,354.0,2,GasA,3,1,SBrkr,0,1,3,6,Typ,0,0,Attchd,2,1.0,3,3,1,0,0,164,0,0,0,2,2010,WD ,128000,56,56,56.0,2.0,3,2399.0
1078,160,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,VinylSd,Wd Shng,Stone,106.0,4,3,PConc,4,3,1,1,0.0,1,GasA,5,1,SBrkr,0,1,4,6,Typ,0,0,BuiltIn,2,2.0,3,3,1,0,27,0,0,0,0,10,2008,WD ,155000,5,4,5.0,3.0,2,2864.0
2511,160,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,513.0,4,3,PConc,4,3,1,6,353.0,1,GasA,5,1,SBrkr,0,1,4,4,Typ,0,0,Detchd,1,2.0,3,3,1,0,32,0,0,0,0,6,2006,WD ,166000,6,6,6.0,3.0,2,2720.0
912,50,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,4,3,Gable,CompShg,WdShing,Plywood,None,0.0,3,3,BrkTil,3,3,1,4,622.0,1,GasA,3,1,SBrkr,0,1,4,7,Min2,2,3,Detchd,1,2.0,3,3,1,431,44,0,0,0,0,12,2009,WD ,135000,81,59,28.0,3.0,4,3679.0
2351,60,RL,Pave,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,RRAn,Norm,1Fam,2Story,7,5,Gable,CompShg,Plywood,Plywood,BrkFace,184.0,3,3,CBlock,4,3,1,4,790.0,2,GasA,3,1,SBrkr,0,1,4,12,Typ,2,3,Attchd,2,2.0,3,3,1,0,112,0,0,440,2000,7,2006,WD ,250000,28,28,28.0,5.0,5,4740.0
330,160,RM,Pave,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,7,Gable,CompShg,CemntBd,CmentBd,None,0.0,3,3,CBlock,3,3,1,6,176.0,1,GasA,5,1,SBrkr,0,1,3,5,Typ,0,0,0,0,0.0,0,0,1,200,26,0,0,0,0,3,2010,WD ,76000,40,40,0.0,2.0,3,1638.0
2586,20,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,522.0,3,3,CBlock,3,3,1,1,0.0,1,GasA,3,1,SBrkr,0,1,4,5,Typ,1,4,Attchd,1,2.0,3,3,1,0,0,0,0,0,0,6,2006,WD ,155000,55,55,55.0,2.0,2,2191.0
224,60,RL,Pave,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Norm,Norm,1Fam,2Story,6,7,Gable,CompShg,HdBoard,HdBoard,Stone,143.0,3,3,CBlock,3,3,1,5,371.0,1,GasA,3,1,SBrkr,0,1,3,7,Typ,0,0,Attchd,3,1.0,3,3,1,379,36,0,0,0,0,3,2010,WD ,158000,41,41,41.0,2.0,4,2314.0
98,160,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,7,5,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,368.0,5,GasA,5,1,SBrkr,0,1,4,4,Typ,0,0,Detchd,2,2.0,3,3,1,0,172,0,0,0,0,2,2010,WD ,149500,6,5,6.0,4.0,2,2280.0
2565,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,4,CBlock,3,3,1,4,486.0,1,GasA,3,1,FuseA,0,1,3,5,Typ,0,0,Attchd,1,1.0,3,3,1,0,0,160,0,0,0,3,2006,WD ,121000,52,31,52.0,1.0,2,2112.0
1934,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3,3,1,3,85.0,5,GasA,3,1,FuseF,0,1,3,6,Typ,0,0,Attchd,3,1.0,3,3,1,0,0,0,0,0,0,6,2007,WD ,136000,54,54,54.0,2.0,3,2373.0
997,60,RL,Pave,IR2,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,3,138.0,1,GasA,4,1,SBrkr,0,1,3,7,Typ,1,3,Attchd,3,2.0,3,3,1,168,84,0,0,0,0,11,2008,WD ,173000,12,12,12.0,3.0,3,2938.0
64,60,RL,Pave,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,4,3,PConc,4,3,1,6,524.0,1,GasA,5,1,SBrkr,0,1,4,9,Typ,1,4,Attchd,3,3.0,3,3,1,132,57,0,0,0,0,4,2010,WD ,290000,11,3,11.0,3.0,4,4093.0
1799,60,FV,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,4,3,PConc,4,3,3,6,64.0,1,GasA,5,1,SBrkr,0,1,5,11,Typ,1,4,BuiltIn,3,2.0,3,3,1,208,364,0,0,0,0,8,2007,New,303477,0,0,0.0,3.0,4,4344.0
230,20,RL,Pave,IR1,Low,AllPub,Inside,Mod,ClearCr,Norm,Norm,1Fam,1Story,7,7,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,4,CBlock,4,3,4,5,1092.0,1,GasA,4,1,SBrkr,0,1,3,4,Typ,2,3,Attchd,2,2.0,3,3,1,496,0,0,0,0,0,4,2010,WD ,270000,33,9,33.0,3.0,1,3593.0
1295,50,RM,Pave,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,WdShing,Wd Shng,None,0.0,2,2,BrkTil,3,3,1,3,360.0,1,GasA,4,0,FuseA,0,1,5,6,Typ,1,4,Detchd,1,1.0,2,2,0,0,0,236,0,0,0,6,2008,WD ,122250,88,58,88.0,1.0,2,2901.0
638,20,RL,Pave,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,CBlock,3,3,1,3,172.0,2,GasA,4,1,FuseA,0,1,4,6,Typ,0,0,Attchd,1,1.0,3,3,1,280,0,0,0,0,0,7,2009,WD ,153000,54,54,54.0,2.0,3,3114.0
